name,inventory,min_price,max_price,current_price,rating,strategy,slug,product(fk),discount
"LG 65"" OLED 4K Ultra HD TV",952,51000,90900,71349,3,4,lg_65_oled_4k_ultra_hd_tv-25,4,19551
"LG 65"" OLED 4K Ultra HD TV",822,58800,99000,71865,2,5,lg_65_oled_4k_ultra_hd_tv-26,4,27135
"LG 65"" OLED 4K Ultra HD TV",497,56400,93600,70164,2,4,lg_65_oled_4k_ultra_hd_tv-27,4,23436
"LG 65"" OLED 4K Ultra HD TV",724,58200,93600,82095,5,3,lg_65_oled_4k_ultra_hd_tv-28,4,11505
"LG 65"" OLED 4K Ultra HD TV",208,51600,93600,63360,1,2,lg_65_oled_4k_ultra_hd_tv-29,4,30240
"Sony 50"" Full HD LED TV",190,26400,46350,40864,4,1,sony_50_full_hd_led_tv-0,5,5486
"Sony 50"" Full HD LED TV",218,27000,49050,41884,4,3,sony_50_full_hd_led_tv-1,5,7166
"Sony 50"" Full HD LED TV",692,29700,45450,41119,5,1,sony_50_full_hd_led_tv-2,5,4331
"Sony 50"" Full HD LED TV",1000,27000,47250,41682,5,1,sony_50_full_hd_led_tv-3,5,5568
"Sony 50"" Full HD LED TV",233,28200,49500,32886,1,3,sony_50_full_hd_led_tv-4,5,16614
"Sony 50"" Full HD LED TV",288,27300,51750,40626,3,3,sony_50_full_hd_led_tv-5,5,11124
"Sony 50"" Full HD LED TV",759,29100,47700,42585,5,1,sony_50_full_hd_led_tv-6,5,5115
"Sony 50"" Full HD LED TV",636,25800,50850,39453,3,3,sony_50_full_hd_led_tv-7,5,11397
"Sony 50"" Full HD LED TV",470,25500,51300,39561,3,3,sony_50_full_hd_led_tv-8,5,11739
"Sony 50"" Full HD LED TV",671,27300,49500,42840,5,2,sony_50_full_hd_led_tv-9,5,6660
"Sony 50"" Full HD LED TV",258,26400,51750,33498,1,2,sony_50_full_hd_led_tv-10,5,18252
"Sony 50"" Full HD LED TV",296,29400,49500,32616,1,4,sony_50_full_hd_led_tv-11,5,16884
"Sony 50"" Full HD LED TV",113,27600,47250,33987,2,5,sony_50_full_hd_led_tv-12,5,13263
"Sony 50"" Full HD LED TV",662,29100,51300,31320,1,5,sony_50_full_hd_led_tv-13,5,19980
"Sony 50"" Full HD LED TV",197,29100,50850,39432,3,5,sony_50_full_hd_led_tv-14,5,11418
"Sony 50"" Full HD LED TV",243,28800,46350,37751,3,4,sony_50_full_hd_led_tv-15,5,8599
"Sony 50"" Full HD LED TV",290,29100,46800,41490,5,2,sony_50_full_hd_led_tv-16,5,5310
"Sony 50"" Full HD LED TV",416,28200,46350,34099,2,5,sony_50_full_hd_led_tv-17,5,12251
"Sony 50"" Full HD LED TV",295,28800,50400,43380,5,3,sony_50_full_hd_led_tv-18,5,7020
"Sony 50"" Full HD LED TV",187,27600,50850,42132,4,5,sony_50_full_hd_led_tv-19,5,8718
"TCL 43"" Roku Smart TV",716,22250,37875,31860,3,1,tcl_43_roku_smart_tv-0,6,6015
"TCL 43"" Roku Smart TV",622,23250,41250,29910,2,4,tcl_43_roku_smart_tv-1,6,11340
"TCL 43"" Roku Smart TV",237,24000,40875,33197,3,3,tcl_43_roku_smart_tv-2,6,7678
"TCL 43"" Roku Smart TV",136,22500,42750,35663,5,4,tcl_43_roku_smart_tv-3,6,7087
"TCL 43"" Roku Smart TV",194,22750,38625,34260,4,1,tcl_43_roku_smart_tv-4,6,4365
"TCL 43"" Roku Smart TV",67,21750,41625,23738,1,5,tcl_43_roku_smart_tv-5,6,17887
"TCL 43"" Roku Smart TV",143,22000,39375,32860,4,5,tcl_43_roku_smart_tv-6,6,6515
"TCL 43"" Roku Smart TV",155,23000,42750,29715,1,1,tcl_43_roku_smart_tv-7,6,13035
"TCL 43"" Roku Smart TV",674,21250,42000,24570,1,4,tcl_43_roku_smart_tv-8,6,17430
"TCL 43"" Roku Smart TV",119,22750,38625,29339,2,3,tcl_43_roku_smart_tv-9,6,9286
"TCL 43"" Roku Smart TV",181,21500,41250,29697,2,3,tcl_43_roku_smart_tv-10,6,11553
"TCL 43"" Roku Smart TV",941,23250,42000,34969,5,5,tcl_43_roku_smart_tv-11,6,7031
"TCL 43"" Roku Smart TV",41,24250,38625,33594,5,4,tcl_43_roku_smart_tv-12,6,5031
"TCL 43"" Roku Smart TV",375,24500,39750,26940,1,4,tcl_43_roku_smart_tv-13,6,12810
"TCL 43"" Roku Smart TV",82,22000,40500,28013,2,5,tcl_43_roku_smart_tv-14,6,12487
"TCL 43"" Roku Smart TV",473,21750,38625,32129,3,1,tcl_43_roku_smart_tv-15,6,6496
"TCL 43"" Roku Smart TV",380,23750,40875,34454,4,5,tcl_43_roku_smart_tv-16,6,6421
"TCL 43"" Roku Smart TV",498,22250,39000,30207,3,5,tcl_43_roku_smart_tv-17,6,8793
"TCL 43"" Roku Smart TV",402,22500,42000,33128,3,3,tcl_43_roku_smart_tv-18,6,8872
"TCL 43"" Roku Smart TV",932,22750,42750,32250,3,5,tcl_43_roku_smart_tv-19,6,10500
"TCL 43"" Roku Smart TV",533,24000,41625,36779,4,1,tcl_43_roku_smart_tv-20,6,4846
"TCL 43"" Roku Smart TV",168,21500,39000,30425,3,4,tcl_43_roku_smart_tv-21,6,8575
"TCL 43"" Roku Smart TV",740,21250,38250,33575,5,1,tcl_43_roku_smart_tv-22,6,4675
"TCL 43"" Roku Smart TV",438,24250,39750,33938,4,5,tcl_43_roku_smart_tv-23,6,5812
"TCL 43"" Roku Smart TV",629,21750,37875,32232,5,4,tcl_43_roku_smart_tv-24,6,5643
"TCL 43"" Roku Smart TV",540,23500,42375,25388,1,5,tcl_43_roku_smart_tv-25,6,16987
"TCL 43"" Roku Smart TV",960,24000,41250,34005,3,2,tcl_43_roku_smart_tv-26,6,7245
"Vizio 60"" 4K HDR Smart TV",894,38250,69525,54201,3,4,vizio_60_4k_hdr_smart_tv-0,7,15324
"Vizio 60"" 4K HDR Smart TV",501,44100,77625,65054,4,5,vizio_60_4k_hdr_smart_tv-1,7,12571
"Vizio 60"" 4K HDR Smart TV",142,43650,76275,64041,4,5,vizio_60_4k_hdr_smart_tv-2,7,12234
"Vizio 60"" 4K HDR Smart TV",540,44550,74250,63113,4,5,vizio_60_4k_hdr_smart_tv-3,7,11137
"Vizio 60"" 4K HDR Smart TV",398,38250,77625,51638,1,1,vizio_60_4k_hdr_smart_tv-4,7,25987
"Vizio 60"" 4K HDR Smart TV",165,40950,74250,65093,5,1,vizio_60_4k_hdr_smart_tv-5,7,9157
"Vizio 60"" 4K HDR Smart TV",568,44100,68850,49545,1,3,vizio_60_4k_hdr_smart_tv-6,7,19305
"Vizio 60"" 4K HDR Smart TV",759,42750,70200,51672,2,5,vizio_60_4k_hdr_smart_tv-7,7,18528
"Vizio 60"" 4K HDR Smart TV",358,39150,74925,49167,1,2,vizio_60_4k_hdr_smart_tv-8,7,25758
"Vizio 60"" 4K HDR Smart TV",468,44550,77625,56788,2,4,vizio_60_4k_hdr_smart_tv-9,7,20837
"Vizio 60"" 4K HDR Smart TV",232,44100,69525,49694,1,3,vizio_60_4k_hdr_smart_tv-10,7,19831
"Vizio 60"" 4K HDR Smart TV",573,43200,75600,50328,1,3,vizio_60_4k_hdr_smart_tv-11,7,25272
"Vizio 60"" 4K HDR Smart TV",684,40950,75600,62260,3,1,vizio_60_4k_hdr_smart_tv-12,7,13340
"Vizio 60"" 4K HDR Smart TV",955,43650,74250,48546,1,4,vizio_60_4k_hdr_smart_tv-13,7,25704
"Vizio 60"" 4K HDR Smart TV",660,38700,71550,61695,5,2,vizio_60_4k_hdr_smart_tv-14,7,9855
"Vizio 60"" 4K HDR Smart TV",471,44550,70200,48654,1,4,vizio_60_4k_hdr_smart_tv-15,7,21546
"Vizio 60"" 4K HDR Smart TV",800,44550,69525,62033,5,2,vizio_60_4k_hdr_smart_tv-16,7,7492
"Vizio 60"" 4K HDR Smart TV",813,43650,72225,51651,1,2,vizio_60_4k_hdr_smart_tv-17,7,20574
"Vizio 60"" 4K HDR Smart TV",779,40950,76950,63450,5,5,vizio_60_4k_hdr_smart_tv-18,7,13500
"Vizio 60"" 4K HDR Smart TV",525,40050,76950,60161,3,3,vizio_60_4k_hdr_smart_tv-19,7,16789
"Vizio 60"" 4K HDR Smart TV",585,38250,71550,61560,4,2,vizio_60_4k_hdr_smart_tv-20,7,9990
"Vizio 60"" 4K HDR Smart TV",810,39150,72225,50396,1,1,vizio_60_4k_hdr_smart_tv-21,7,21829
"Vizio 60"" 4K HDR Smart TV",93,44100,72225,57460,3,5,vizio_60_4k_hdr_smart_tv-22,7,14765
"Vizio 60"" 4K HDR Smart TV",284,38250,68850,60435,5,1,vizio_60_4k_hdr_smart_tv-23,7,8415
"Vizio 60"" 4K HDR Smart TV",64,40050,76950,61452,3,2,vizio_60_4k_hdr_smart_tv-24,7,15498
"Vizio 60"" 4K HDR Smart TV",816,43200,73575,64463,4,2,vizio_60_4k_hdr_smart_tv-25,7,9112
"Vizio 60"" 4K HDR Smart TV",733,42750,70200,61279,4,3,vizio_60_4k_hdr_smart_tv-26,7,8921
"Vizio 60"" 4K HDR Smart TV",159,40050,73575,53963,2,3,vizio_60_4k_hdr_smart_tv-27,7,19612
"Vizio 60"" 4K HDR Smart TV",288,41850,76275,60612,3,3,vizio_60_4k_hdr_smart_tv-28,7,15663
"Vizio 60"" 4K HDR Smart TV",458,41400,69525,61791,4,1,vizio_60_4k_hdr_smart_tv-29,7,7734
"Hisense 55"" 4K Android TV",58,34400,61800,40428,1,3,hisense_55_4k_android_tv-0,8,21372
"Hisense 55"" 4K Android TV",700,36000,61200,38520,1,5,hisense_55_4k_android_tv-1,8,22680
"Hisense 55"" 4K Android TV",361,36800,63600,46716,2,4,hisense_55_4k_android_tv-2,8,16884
"Hisense 55"" 4K Android TV",881,39600,60600,50205,2,1,hisense_55_4k_android_tv-3,8,10395
"Hisense 55"" 4K Android TV",516,39200,60600,53110,4,4,hisense_55_4k_android_tv-4,8,7490
"Hisense 55"" 4K Android TV",66,38400,66600,56730,4,4,hisense_55_4k_android_tv-5,8,9870
"Hisense 55"" 4K Android TV",316,36400,67800,48018,2,4,hisense_55_4k_android_tv-6,8,19782
"Hisense 55"" 4K Android TV",447,37600,66000,45552,1,2,hisense_55_4k_android_tv-7,8,20448
"Hisense 55"" 4K Android TV",94,38800,63600,41280,1,5,hisense_55_4k_android_tv-8,8,22320
"Hisense 55"" 4K Android TV",581,35200,61800,48766,3,4,hisense_55_4k_android_tv-9,8,13034
"Hisense 55"" 4K Android TV",554,36000,63600,45384,1,1,hisense_55_4k_android_tv-10,8,18216
"Hisense 55"" 4K Android TV",275,34000,61800,53460,4,2,hisense_55_4k_android_tv-11,8,8340
"Hisense 55"" 4K Android TV",45,37200,69000,48966,2,4,hisense_55_4k_android_tv-12,8,20034
"Hisense 55"" 4K Android TV",883,34000,61800,51375,4,5,hisense_55_4k_android_tv-13,8,10425
"Hisense 55"" 4K Android TV",732,36800,61800,44925,2,5,hisense_55_4k_android_tv-14,8,16875
"Hisense 55"" 4K Android TV",190,37600,61200,42792,1,3,hisense_55_4k_android_tv-15,8,18408
"Hisense 55"" 4K Android TV",830,39600,64200,51285,3,5,hisense_55_4k_android_tv-16,8,12915
"Hisense 55"" 4K Android TV",365,38800,61200,51792,3,2,hisense_55_4k_android_tv-17,8,9408
"Hisense 55"" 4K Android TV",756,34000,64800,48168,2,2,hisense_55_4k_android_tv-18,8,16632
"Hisense 55"" 4K Android TV",964,34000,61800,52070,5,4,hisense_55_4k_android_tv-19,8,9730
"Hisense 55"" 4K Android TV",892,35600,61200,43920,2,5,hisense_55_4k_android_tv-20,8,17280
"Hisense 55"" 4K Android TV",451,38800,66600,50337,2,3,hisense_55_4k_android_tv-21,8,16263
"Hisense 55"" 4K Android TV",621,34000,65400,52212,3,2,hisense_55_4k_android_tv-22,8,13188
"Hisense 55"" 4K Android TV",738,38000,66600,48582,2,4,hisense_55_4k_android_tv-23,8,18018
"Hisense 55"" 4K Android TV",52,38800,62400,50718,2,1,hisense_55_4k_android_tv-24,8,11682
"Hisense 55"" 4K Android TV",476,38800,61800,49380,2,2,hisense_55_4k_android_tv-25,8,12420
"Hisense 55"" 4K Android TV",926,38000,65400,50604,2,2,hisense_55_4k_android_tv-26,8,14796
"Hisense 55"" 4K Android TV",862,35200,66000,54450,5,5,hisense_55_4k_android_tv-27,8,11550
"Hisense 55"" 4K Android TV",811,35200,60600,45741,2,3,hisense_55_4k_android_tv-28,8,14859
"Hisense 55"" 4K Android TV",254,34000,61800,52765,4,3,hisense_55_4k_android_tv-29,8,9035
"Philips 70"" 4K HDR TV",120,65100,108150,95235,4,2,philips_70_4k_hdr_tv-0,9,12915
"Philips 70"" 4K HDR TV",707,69300,117600,95624,3,3,philips_70_4k_hdr_tv-1,9,21976
"Philips 70"" 4K HDR TV",648,65100,108150,79737,1,1,philips_70_4k_hdr_tv-2,9,28413
"Philips 70"" 4K HDR TV",889,62300,120750,91818,2,1,philips_70_4k_hdr_tv-3,9,28932
"Philips 70"" 4K HDR TV",96,60900,110250,92978,5,4,philips_70_4k_hdr_tv-4,9,17272
"Philips 70"" 4K HDR TV",788,61600,106050,66045,1,5,philips_70_4k_hdr_tv-5,9,40005
"Philips 70"" 4K HDR TV",411,61600,116550,100065,4,2,philips_70_4k_hdr_tv-6,9,16485
"Philips 70"" 4K HDR TV",301,59500,116550,83176,2,3,philips_70_4k_hdr_tv-7,9,33374
"Philips 70"" 4K HDR TV",356,64400,119700,96474,3,2,philips_70_4k_hdr_tv-8,9,23226
"Philips 70"" 4K HDR TV",328,62300,110250,93468,5,4,philips_70_4k_hdr_tv-9,9,16782
"Philips 70"" 4K HDR TV",690,62300,115500,86772,2,2,philips_70_4k_hdr_tv-10,9,28728
"Philips 70"" 4K HDR TV",214,65100,113400,88043,3,5,philips_70_4k_hdr_tv-11,9,25357
"Philips 70"" 4K HDR TV",668,65100,116550,97257,4,5,philips_70_4k_hdr_tv-12,9,19293
"Philips 70"" 4K HDR TV",525,61600,112350,97125,5,2,philips_70_4k_hdr_tv-13,9,15225
"Philips 70"" 4K HDR TV",533,65100,115500,94332,3,2,philips_70_4k_hdr_tv-14,9,21168
"Philips 70"" 4K HDR TV",291,67200,111300,94763,5,5,philips_70_4k_hdr_tv-15,9,16537
"Philips 70"" 4K HDR TV",648,60200,114450,77832,2,5,philips_70_4k_hdr_tv-16,9,36618
"Philips 70"" 4K HDR TV",441,60200,111300,83706,2,2,philips_70_4k_hdr_tv-17,9,27594
"Philips 70"" 4K HDR TV",197,62300,110250,90111,3,2,philips_70_4k_hdr_tv-18,9,20139
"Philips 70"" 4K HDR TV",793,66500,117600,71610,1,5,philips_70_4k_hdr_tv-19,9,45990
"Panasonic 65"" 4K Ultra HD TV",403,55200,103500,89010,5,2,panasonic_65_4k_ultra_hd_tv-0,10,14490
"Panasonic 65"" 4K Ultra HD TV",930,59400,100800,78444,2,2,panasonic_65_4k_ultra_hd_tv-1,10,22356
"Panasonic 65"" 4K Ultra HD TV",500,52800,99000,67815,2,5,panasonic_65_4k_ultra_hd_tv-2,10,31185
"Panasonic 65"" 4K Ultra HD TV",896,55800,99000,71784,2,4,panasonic_65_4k_ultra_hd_tv-3,10,27216
"Panasonic 65"" 4K Ultra HD TV",528,52800,94500,70106,2,3,panasonic_65_4k_ultra_hd_tv-4,10,24394
"Panasonic 65"" 4K Ultra HD TV",397,54600,100800,84630,4,4,panasonic_65_4k_ultra_hd_tv-5,10,16170
"Panasonic 65"" 4K Ultra HD TV",500,58200,100800,73962,2,4,panasonic_65_4k_ultra_hd_tv-6,10,26838
"Panasonic 65"" 4K Ultra HD TV",619,54600,90900,60408,1,4,panasonic_65_4k_ultra_hd_tv-7,10,30492
"Panasonic 65"" 4K Ultra HD TV",692,52200,97200,80325,5,5,panasonic_65_4k_ultra_hd_tv-8,10,16875
"Panasonic 65"" 4K Ultra HD TV",498,58800,97200,86640,4,1,panasonic_65_4k_ultra_hd_tv-9,10,10560
"Panasonic 65"" 4K Ultra HD TV",517,57000,95400,75240,3,5,panasonic_65_4k_ultra_hd_tv-10,10,20160
"Panasonic 65"" 4K Ultra HD TV",708,52800,100800,87600,5,1,panasonic_65_4k_ultra_hd_tv-11,10,13200
"Panasonic 65"" 4K Ultra HD TV",526,56400,90900,68130,1,1,panasonic_65_4k_ultra_hd_tv-12,10,22770
"Panasonic 65"" 4K Ultra HD TV",918,57000,95400,65448,1,3,panasonic_65_4k_ultra_hd_tv-13,10,29952
"Panasonic 65"" 4K Ultra HD TV",945,52200,102600,83700,5,5,panasonic_65_4k_ultra_hd_tv-14,10,18900
"Panasonic 65"" 4K Ultra HD TV",498,58200,96300,81632,3,1,panasonic_65_4k_ultra_hd_tv-15,10,14668
"Panasonic 65"" 4K Ultra HD TV",710,57000,103500,76298,2,3,panasonic_65_4k_ultra_hd_tv-16,10,27202
"Panasonic 65"" 4K Ultra HD TV",841,55200,102600,89565,4,1,panasonic_65_4k_ultra_hd_tv-17,10,13035
"Panasonic 65"" 4K Ultra HD TV",538,59400,98100,85523,5,3,panasonic_65_4k_ultra_hd_tv-18,10,12577
"Panasonic 65"" 4K Ultra HD TV",396,52800,99000,74052,2,2,panasonic_65_4k_ultra_hd_tv-19,10,24948
"Sharp 50"" 4K Android TV",72,30800,59850,37191,1,3,sharp_50_4k_android_tv-0,11,22659
"Sharp 50"" 4K Android TV",228,31150,54075,42728,2,1,sharp_50_4k_android_tv-1,11,11347
"Sharp 50"" 4K Android TV",954,34300,60375,47599,3,4,sharp_50_4k_android_tv-2,11,12776
"Sharp 50"" 4K Android TV",987,30450,56700,48169,5,3,sharp_50_4k_android_tv-3,11,8531
"Sharp 50"" 4K Android TV",970,33600,57750,45072,3,5,sharp_50_4k_android_tv-4,11,12678
"Sharp 50"" 4K Android TV",283,29750,57225,48296,4,3,sharp_50_4k_android_tv-5,11,8929
"Sharp 50"" 4K Android TV",810,31150,53550,47390,5,1,sharp_50_4k_android_tv-6,11,6160
"Sharp 50"" 4K Android TV",138,31150,54075,47771,5,1,sharp_50_4k_android_tv-7,11,6304
"Sharp 50"" 4K Android TV",55,30100,56175,38575,2,5,sharp_50_4k_android_tv-8,11,17600
"Sharp 50"" 4K Android TV",667,29750,55125,43580,3,3,sharp_50_4k_android_tv-9,11,11545
"Sharp 50"" 4K Android TV",421,32900,55650,36540,1,4,sharp_50_4k_android_tv-10,11,19110
"Sharp 50"" 4K Android TV",139,30100,59325,49097,4,4,sharp_50_4k_android_tv-11,11,10228
"Sharp 50"" 4K Android TV",233,34300,56700,41916,1,1,sharp_50_4k_android_tv-12,11,14784
"Sharp 50"" 4K Android TV",162,31850,54075,34073,1,5,sharp_50_4k_android_tv-13,11,20002
"Sharp 50"" 4K Android TV",911,31500,55125,33863,1,5,sharp_50_4k_android_tv-14,11,21262
"Sharp 50"" 4K Android TV",270,33250,54075,43767,2,1,sharp_50_4k_android_tv-15,11,10308
"Sharp 50"" 4K Android TV",199,30450,58275,43667,3,5,sharp_50_4k_android_tv-16,11,14608
"Sharp 50"" 4K Android TV",375,34650,54600,44127,3,5,sharp_50_4k_android_tv-17,11,10473
"Sharp 50"" 4K Android TV",281,32550,53025,42276,3,5,sharp_50_4k_android_tv-18,11,10749
"Sharp 50"" 4K Android TV",453,33950,58800,39417,1,3,sharp_50_4k_android_tv-19,11,19383
"Sharp 50"" 4K Android TV",708,33950,53025,47303,4,2,sharp_50_4k_android_tv-20,11,5722
"Sharp 50"" 4K Android TV",73,29750,56700,46325,3,1,sharp_50_4k_android_tv-21,11,10375
"Sharp 50"" 4K Android TV",174,30450,57750,48878,5,3,sharp_50_4k_android_tv-22,11,8872
"Sharp 50"" 4K Android TV",751,33250,55650,44674,3,4,sharp_50_4k_android_tv-23,11,10976
"Sharp 50"" 4K Android TV",847,32900,55650,48825,5,2,sharp_50_4k_android_tv-24,11,6825
"Sharp 50"" 4K Android TV",81,31150,58275,48104,4,5,sharp_50_4k_android_tv-25,11,10171
"Sharp 50"" 4K Android TV",930,30450,57225,49862,4,1,sharp_50_4k_android_tv-26,11,7363
"Toshiba 55"" Fire TV Edition",420,36800,61800,40800,1,4,toshiba_55_fire_tv_edition-0,12,21000
"Toshiba 55"" Fire TV Edition",577,36000,66600,50076,2,2,toshiba_55_fire_tv_edition-1,12,16524
"Toshiba 55"" Fire TV Edition",644,35600,66000,46848,2,4,toshiba_55_fire_tv_edition-2,12,19152
"Toshiba 55"" Fire TV Edition",770,36000,65400,55110,4,4,toshiba_55_fire_tv_edition-3,12,10290
"Toshiba 55"" Fire TV Edition",997,35600,60600,53725,5,1,toshiba_55_fire_tv_edition-4,12,6875
"Toshiba 55"" Fire TV Edition",789,38800,67800,48225,2,5,toshiba_55_fire_tv_edition-5,12,19575
"Toshiba 55"" Fire TV Edition",816,34400,69000,57755,4,3,toshiba_55_fire_tv_edition-6,12,11245
"Toshiba 55"" Fire TV Edition",735,35200,65400,41844,1,3,toshiba_55_fire_tv_edition-7,12,23556
"Toshiba 55"" Fire TV Edition",25,36400,62400,49660,3,4,toshiba_55_fire_tv_edition-8,12,12740
"Toshiba 55"" Fire TV Edition",494,39200,64800,57120,5,2,toshiba_55_fire_tv_edition-9,12,7680
"Toshiba 55"" Fire TV Edition",627,39200,64200,46200,1,2,toshiba_55_fire_tv_edition-10,12,18000
"Toshiba 55"" Fire TV Edition",287,39600,63600,54600,4,5,toshiba_55_fire_tv_edition-11,12,9000
"Toshiba 55"" Fire TV Edition",623,35600,67200,55350,5,5,toshiba_55_fire_tv_edition-12,12,11850
"Toshiba 55"" Fire TV Edition",566,34400,61200,53830,5,1,toshiba_55_fire_tv_edition-13,12,7370
"Toshiba 55"" Fire TV Edition",403,34000,63600,54720,4,2,toshiba_55_fire_tv_edition-14,12,8880
"Toshiba 55"" Fire TV Edition",967,37200,61200,54000,4,2,toshiba_55_fire_tv_edition-15,12,7200
"Toshiba 55"" Fire TV Edition",544,38000,64200,42192,1,4,toshiba_55_fire_tv_edition-16,12,22008
"Toshiba 55"" Fire TV Edition",609,36000,69000,41280,1,4,toshiba_55_fire_tv_edition-17,12,27720
"Toshiba 55"" Fire TV Edition",675,36400,64800,54860,5,4,toshiba_55_fire_tv_edition-18,12,9940
